SRR5962198	SRR5962199	SRR5962200	SRR5962201	SRR5962202	SRR5962203	SRR5962204	SRR5962205	SRR5962206	SRR5962207	SRR5962208	SRR5962209	SRR5962210	SRR5962211	SRR5962212	SRR5962213	SRR5962214	SRR5962215	SRR5962216	SRR5962217	SRR5962218	SRR5962219	SRR5962220	SRR5962221	SRR5962222	SRR5962223	SRR5962224	SRR5962225	SRR5962226	SRR5962227	SRR5962228	SRR5962229	SRR5962230	SRR5962231	SRR5962232	SRR5962233	SRR5962234	SRR5962235	SRR5962236	SRR5962237	SRR5962238	SRR5962239	SRR5962240	SRR5962241
A1CF	0.100541366527931	0	0.0337950778911485	0.0443258706517137	1.14224336290828	0.0225986348368006	0.0248032248333922	0.0832318167054015	0.289957172969992	0.270066375402322	0.163273067436447	0.15615589942962	0	0	1.37937520346309	0.0803793572769918	0.236136785397762	0.0683079468223118	0.129845708165968	0.0843885100483921	0.0329364120608622	0.0377577984470004	0	0.0632607669708798	0.0725616371577062	0.0339016613870812	0.239442715141588	0.313688986073408	0.201126164229211	0.0138564146961898	0.172555360676436	0.0261794550152959	0.111786672510928	0.189837400767027	0.0201147414265079	0.0320467469625956	0.571168293802124	1.55698150825431	0.0809451270440863	0	0.0644325673332245	0.0882063845969295	0.0559690336299123	1.47907314594179
ANKHD1	0.839010653849449	0.716643492128906	0.773117091352078	0.772955680019939	2.24603202072763	0.829119412024122	0.804473619506629	0.853235548173849	0.809829463913191	0.932559296292161	2.11422770576079	2.10785196285096	1.21240873369186	0.477511271390703	0.957794316475297	2.1857527409048	2.01301355699166	1.1113220014037	2.36411635644574	0.874199419627518	2.39243138384254	0.30266899113404	1.52210653403147	2.87618113822889	1.22774759725448	1.44867888240354	1.34357196671884	1.5929285557792	2.10762555579451	0.835332913628597	1.22148533390162	1.22792799237198	1.98680434271874	1.14716468149589	0.940573012159827	0.982105748238411	1.53556602112964	1.71440466831301	1.77313869972453	1.26680939699647	2.5348019233601	2.74124890383273	3.32174629709891	0.907809261399568
CELF1	19.4532827375905	18.6930904414437	11.7812090911261	16.9054696348684	21.4689575582649	22.4519224868663	23.1496126161879	12.248484435737	18.5594373645547	16.4799831590052	21.6878299310716	24.3717268670094	10.9004600414402	21.5704646629545	21.8254527281216	28.2828742631261	35.3409516820217	23.9026787645177	22.2200021203764	15.8468046154153	22.6669404179919	6.590727075691	13.2343233489029	28.2211405848924	18.5441744118039	27.9754422027691	23.5210002857738	25.7975647380986	18.4612286543981	6.95256536292016	32.4188199953487	22.3097322374357	20.89721372372	28.3252869510928	9.04350103567203	10.5181408500958	28.2913512848752	27.3047389064997	21.3660654152667	30.1422523988509	23.5824399890138	33.3628820639127	35.1545510327223	9.81638526991538
CELF2	29.7642191078995	25.5567231337433	11.7554978809489	26.6496647399705	16.2681018238143	27.8130623621792	18.7455707216571	10.7527834144152	19.9745963560318	23.9011155942945	9.45381260571052	22.1500396737772	11.5793516934616	15.4119804383358	11.5533691510796	8.69584357289154	36.2122445846877	32.3732645093429	20.4993337827564	22.3922547096643	14.3184569996827	3.18191603726065	3.07043486890309	6.49960931508934	1.50999589254224	3.58647701491224	12.239228433689	7.80831653430148	8.72688596688792	4.31318127138319	6.58071917958297	3.52556007560418	7.6492412406841	5.73800344513139	4.76088791352329	2.51826804108558	3.55227719478634	10.2228646186614	10.1622321770733	11.7698804492641	3.44224166148155	20.7569385217554	14.4309085405173	4.42181721429345
CELF3	0	0.0840602957362389	0.0638783846055898	0.10054002618681	0.30843316923273	0.0640728344664293	0.130600606730602	0.0589958027621767	0.241794641451817	0.109386621240394	0.562117582607183	0.543364438360729	0.172059186495785	0.0811190156523958	4.63353894236054	0.845113474877654	0.585818971480032	0.186221415972457	0.242641260233083	0.0837419550334066	0.353521518117262	0.107052890016695	0	0.298933739406239	0.164584446796682	0.216269478055895	0.289522583805013	1.02017973564368	0.538563255529032	0.0458341724383711	0.244619003332715	0.358755924064793	0.298299704023326	0.730464436116019	0.0902980852390599	0.238509120634703	2.08209380945785	5.76579345469191	0.200812385039509	0.138111551560347	0.378413943627477	0.291768594576823	0.644663251893695	3.92690410310351
CELF4	0.177976805166009	0.539824089098387	0.0940084126738212	0.201767105009515	0.605219075478159	0.445756197565389	0.145159581473642	0.0631438723196374	0.181156870095785	0.292694332549545	1.87570361215689	0.753885844062577	0.368313771313777	0.289408654357892	1.79718800660457	0.508165434199026	0.492649649469146	0.231205260117714	0.1432836823876	0.102434237572408	0.371238854729113	0.0900270754430173	0	0.415937793641842	0.0660587203310589	0.257195176410287	0.0747984476431212	0.625281716990935	0.542522653771701	0.0630730685704745	0.340364017561788	0.145647778565901	0.199545958588838	0.164594592652033	0.0508668725756453	0.121561427983017	0.705688012429773	2.77221591529291	0.161198818485262	0.101627865312132	0.425970053835612	0.124913285489866	0.424609440628889	2.94470124077783
CELF5	0.0530552117137992	0	0.053500516483465	0.0140343335268185	0.416189020518002	0	0	0.0329407820566259	0	0.152692254426811	0.516950631913023	0.449469502809293	0.219590020125749	0	2.11246302810066	0.98616765602784	0.271023017454115	0.207956457599312	0.186869936084553	0	0.297949569045697	0.0853912058985787	0	0.133529650559701	0	3.8641858077168	0.245273097191204	0.423567738526334	0.265333354639674	0.054839742139594	0	0	0.166558044432411	0.214663529693109	0.0212289110802017	0.0253663790868616	0.477938810322468	2.13786770864054	0.0880983824291952	0.115673547263822	0.0582870278461641	0.037236879273956	0.254735915117151	1.97606364231406
CELF6	0	0	0.0598329891203353	0.0824012541780653	0.144450102902552	0	0.0282299345853823	0	0	0	0	0.0754004978993687	0	0	0.358356761944813	0	0.10974385267715	0.0418627391083216	0.047022387954462	0.0672330914265522	0.0374867689262555	0	0	0.0560004743013789	0.0385403430102573	0	0.0374051339391051	0.0735055472393026	0.0741847404703292	0.0122661458635242	0	0	0.0698521223400861	0.144043027778584	0.00890310941734676	0	0.0866771353568552	0.548503291801065	0.0403060730954971	0	0.122223835354961	0.0624665126315866	0.111477591941658	0.295165373654387
CNOT4	9.24252261257852	11.9596218270668	5.06963831120128	7.56569083898124	13.5452465116954	11.4259056135845	8.84328750083775	5.45297724467768	8.14395030169629	8.49607715754606	11.5369953178309	13.283760013974	6.73248600816958	7.58942046428087	10.6560262659378	12.9676485658734	18.1921631722117	11.6215445711527	11.2804641661554	9.50020200409571	12.395110747235	3.21565419901626	2.41919032498444	11.8912074432528	4.34074723687237	8.72154024593176	10.7544650158876	11.5152552668232	8.8229197540608	3.47597932822021	10.3461990168257	4.66954848500433	8.33650498388121	9.67448871240987	4.99532747639587	5.56218477666071	8.88909380024319	13.1881442558536	11.2796344958395	10.3010690168475	10.1981374862025	14.9746841105271	11.9412320269926	7.01480605689042
CPEB1	0.235057514976925	0.554521673346105	0.217277873577339	0.450791676452238	0.604035293354651	0.594379857894146	0.405915417291651	0.316207448742715	0.458576856086135	0.586293648184514	0.640742800885431	1.57648076922648	0.222951364621284	0.312152686890266	1.20932502241535	0.931771892714377	2.20137332472834	0.571228923078079	0.848612434397653	0.389654571500804	0.67102305073465	0.245907962802804	0	0.419045788953666	0.0508929569050848	0.158518638734092	0.139949384875512	0.474539524770217	0.613893853312886	0.359046439309372	0.0605130539954648	0.173415386922381	0.614936760515524	0.570631320270996	0.595670582504581	0.0187306701814854	0.381527110712585	1.65290063561577	0.490849304362157	0.270477561703074	0.107598633875481	0.130605577718823	0.866888112819432	1.85889925886954
CPEB2	10.3493080975101	10.8940090241163	7.58126999948724	7.57758036172793	9.92217368974055	14.5608906882008	16.6577400274246	7.17124401034298	6.51166420692021	8.34487824958502	15.6669559590672	9.48904523794519	7.11652670549662	9.36958751402338	15.0035920897904	21.2171810836742	17.5763746341561	13.254784563364	13.127374668366	12.4471288979377	12.5926788476841	7.22856949861236	15.5075187680897	12.5290309462207	11.2794249136929	25.5763747408116	30.7218667948505	13.3398926549503	19.0142274155858	8.11558834087058	31.9043787442209	8.44826642868982	30.4593165002417	19.1877039706185	13.1264449359082	10.4077909209145	22.3267128577278	30.1617385961112	11.7006105633713	25.8407720228011	172.856676087517	19.6303177269146	41.6685591840659	15.484521528824
CPEB3	3.35284952975278	2.15718314175003	2.49988409045468	2.13932581987152	7.56333126240249	2.97336707938513	4.17220775352026	1.96816077137624	1.84082086382523	3.06443463091925	4.89327023831383	2.80601443779966	3.11183377301828	3.67767536779321	3.72722005436224	6.39255688598791	5.76999295820436	3.35795661289174	4.01517395576507	2.1029634820042	6.20788593693756	2.44306946628767	2.13813778059933	6.59734947455952	4.68117946287083	5.87886659488826	3.95403298913507	4.07247402489808	4.95922413859831	1.41985556290879	5.92176920554306	3.16407756227866	4.68075375874757	3.4531037243953	2.24814811720907	4.84798303541548	6.56018618896349	5.58717099006546	3.79136666555669	3.89869080173041	5.15128629521387	7.10239279066529	7.15190903280409	6.13764607760773
CPEB4	15.4845882242046	14.3119414372641	10.1662916994896	11.7867922570991	17.0709667377098	19.0334600104769	17.5280035050043	8.65741092874956	11.6994064371043	14.7750019607254	14.2083111850595	13.118127221665	10.027872415383	14.3986874146585	18.7212318983716	24.7772658941834	18.2273869338536	19.3253752860578	14.9237401321068	15.4410369146828	17.2057617180933	6.46982856398339	9.72725761273426	13.7467330512557	8.9536405302696	15.2118092013088	14.7832080405613	12.7502705349939	20.6300290790405	7.79938962008406	17.4685091015125	13.4960103904313	21.8992690494711	15.5100854085723	10.6038044970081	8.82512455658757	19.3639575321585	30.8671790896618	11.8618102514669	18.8340768354293	18.4799443144996	20.2704910085848	20.8614665468393	12.9551015628352
